date,country_code,indicator_code,block,direction,value,value_aligned,value_winsor,z_value
1948-06-30,US,CREDIT_GROWTH,Credit & leverage,1,15.403164201632702,15.403164201632702,15.403164201632702,1.841552178207576
1948-07-31,US,CREDIT_GROWTH,Credit & leverage,1,14.440621600346692,14.440621600346692,14.440621600346692,1.5963198969412524
1948-08-31,US,CREDIT_GROWTH,Credit & leverage,1,14.440621600346692,14.440621600346692,14.440621600346692,1.5963198969412524
1948-09-30,US,CREDIT_GROWTH,Credit & leverage,1,14.440621600346692,14.440621600346692,14.440621600346692,1.5963198969412524
1948-10-31,US,CREDIT_GROWTH,Credit & leverage,1,13.549381139656424,13.549381139656424,13.549381139656424,1.3692536548446281
1948-11-30,US,CREDIT_GROWTH,Credit & leverage,1,13.549381139656424,13.549381139656424,13.549381139656424,1.3692536548446281
1948-12-31,US,CREDIT_GROWTH,Credit & leverage,1,13.549381139656424,13.549381139656424,13.549381139656424,1.3692536548446281
1949-01-31,US,CREDIT_GROWTH,Credit & leverage,1,12.04460109361618,12.04460109361618,12.04460109361618,0.9858725525417684
1949-02-28,US,CREDIT_GROWTH,Credit & leverage,1,12.04460109361618,12.04460109361618,12.04460109361618,0.9858725525417684
1949-03-31,US,CREDIT_GROWTH,Credit & leverage,1,12.04460109361618,12.04460109361618,12.04460109361618,0.9858725525417684
1949-04-30,US,CREDIT_GROWTH,Credit & leverage,1,10.658829721905416,10.658829721905416,10.658829721905416,0.6328119458276826
1949-05-31,US,CREDIT_GROWTH,Credit & leverage,1,10.658829721905416,10.658829721905416,10.658829721905416,0.6328119458276826
1949-06-30,US,CREDIT_GROWTH,Credit & leverage,1,10.658829721905416,10.658829721905416,10.658829721905416,0.6328119458276826
1949-07-31,US,CREDIT_GROWTH,Credit & leverage,1,9.343844191977734,9.343844191977734,9.343844191977734,0.29778583799045644
1949-08-31,US,CREDIT_GROWTH,Credit & leverage,1,9.343844191977734,9.343844191977734,9.343844191977734,0.29778583799045644
1949-09-30,US,CREDIT_GROWTH,Credit & leverage,1,9.343844191977734,9.343844191977734,9.343844191977734,0.29778583799045644
1949-10-31,US,CREDIT_GROWTH,Credit & leverage,1,8.107743400979084,8.107743400979084,8.107743400979084,-0.017142370326458847
1949-11-30,US,CREDIT_GROWTH,Credit & leverage,1,8.107743400979084,8.107743400979084,8.107743400979084,-0.017142370326458847
1949-12-31,US,CREDIT_GROWTH,Credit & leverage,1,8.107743400979084,8.107743400979084,8.107743400979084,-0.017142370326458847
1950-01-31,US,CREDIT_GROWTH,Credit & leverage,1,10.10671919328523,10.10671919328523,10.10671919328523,0.4921477048228807
1950-02-28,US,CREDIT_GROWTH,Credit & leverage,1,10.10671919328523,10.10671919328523,10.10671919328523,0.4921477048228807
1950-03-31,US,CREDIT_GROWTH,Credit & leverage,1,10.10671919328523,10.10671919328523,10.10671919328523,0.4921477048228807
1950-04-30,US,CREDIT_GROWTH,Credit & leverage,1,12.050103060091956,12.050103060091956,12.050103060091956,0.9872743188516468
1950-05-31,US,CREDIT_GROWTH,Credit & leverage,1,12.050103060091956,12.050103060091956,12.050103060091956,0.9872743188516468
1950-06-30,US,CREDIT_GROWTH,Credit & leverage,1,12.050103060091956,12.050103060091956,12.050103060091956,0.9872743188516468
1950-07-31,US,CREDIT_GROWTH,Credit & leverage,1,13.939779474130631,13.939779474130631,13.939779474130631,1.4687175892593456
1950-08-31,US,CREDIT_GROWTH,Credit & leverage,1,13.939779474130631,13.939779474130631,13.939779474130631,1.4687175892593456
1950-09-30,US,CREDIT_GROWTH,Credit & leverage,1,13.939779474130631,13.939779474130631,13.939779474130631,1.4687175892593456
1950-10-31,US,CREDIT_GROWTH,Credit & leverage,1,15.757319390316638,15.757319390316638,15.757319390316638,1.9317822467024461
