date,country_code,block,block_value
1956-10-31,ES,Macro vulnerability,-0.08685289673977055
1956-10-31,UK,Macro vulnerability,-0.2162652648671531
1956-10-31,US,Credit & leverage,0.45690983721881206
1956-10-31,US,Macro vulnerability,-0.845293704023764
1956-11-30,DE,Credit & leverage,0.44191594691629377
1956-11-30,DE,Macro vulnerability,-0.43480638821795026
1956-11-30,ES,Macro vulnerability,0.10068978605270726
1956-11-30,UK,Macro vulnerability,-0.4790365941049937
1956-11-30,US,Credit & leverage,0.45690983721881206
1956-11-30,US,Macro vulnerability,-0.7227884592648017
1956-12-31,DE,Credit & leverage,0.44191594691629377
1956-12-31,DE,Macro vulnerability,-0.4378637822426105
1956-12-31,ES,Macro vulnerability,0.3894265577587244
1956-12-31,UK,Macro vulnerability,-0.41420333106694834
1956-12-31,US,Credit & leverage,0.45690983721881206
1956-12-31,US,Macro vulnerability,-0.613736922966267
1957-01-31,DE,Credit & leverage,0.30722087499597933
1957-01-31,DE,Macro vulnerability,0.06963918407960432
1957-01-31,ES,Macro vulnerability,0.7332326103733416
1957-01-31,UK,Macro vulnerability,-0.12015788452174025
1957-01-31,US,Credit & leverage,0.35120888733446165
1957-01-31,US,Macro vulnerability,-0.613736922966267
1957-02-28,DE,Credit & leverage,0.30722087499597933
1957-02-28,DE,Macro vulnerability,-0.10158520116039597
1957-02-28,ES,Macro vulnerability,0.5944469142408151
1957-02-28,UK,Macro vulnerability,-0.14184364349782982
1957-02-28,US,Credit & leverage,0.35120888733446165
1957-02-28,US,Macro vulnerability,-0.6365473348115771
1957-03-31,DE,Credit & leverage,0.30722087499597933
1957-03-31,DE,Macro vulnerability,-1.270376152218572
1957-03-31,ES,Macro vulnerability,0.5047476676825605
1957-03-31,UK,Macro vulnerability,-0.47492237191205006
1957-03-31,US,Credit & leverage,0.35120888733446165
1957-03-31,US,Macro vulnerability,-0.6287314354671463
1957-04-30,DE,Credit & leverage,0.08777189467132587
1957-04-30,DE,Macro vulnerability,-0.9421885578744902
1957-04-30,ES,Macro vulnerability,0.37893661439379794
1957-04-30,UK,Macro vulnerability,-0.6942497527627315
1957-04-30,US,Credit & leverage,0.2642328333784391
1957-04-30,US,Macro vulnerability,-0.5700463879128819
1957-05-31,DE,Credit & leverage,0.08777189467132587
1957-05-31,DE,Macro vulnerability,-0.6115144206551384
1957-05-31,ES,Macro vulnerability,0.3357693667734416
1957-05-31,UK,Macro vulnerability,-0.6300377867193511
1957-05-31,US,Credit & leverage,0.2642328333784391
1957-05-31,US,Macro vulnerability,-0.5113422746671029
1957-06-30,DE,Credit & leverage,0.08777189467132587
1957-06-30,DE,Macro vulnerability,-0.2823326436813289
1957-06-30,ES,Macro vulnerability,0.3510777052603126
1957-06-30,UK,Macro vulnerability,-0.37547386668119104
1957-06-30,US,Credit & leverage,0.2642328333784391
1957-06-30,US,Macro vulnerability,-0.5231834412705026
1957-07-31,DE,Credit & leverage,0.08415788297579038
1957-07-31,DE,Macro vulnerability,0.04237411652766015
1957-07-31,ES,Macro vulnerability,0.7269735570348336
1957-07-31,UK,Macro vulnerability,-0.09634605373563507
1957-07-31,US,Credit & leverage,0.15051441917419783
1957-07-31,US,Macro vulnerability,-0.5582803794646863
1957-08-31,DE,Credit & leverage,0.08415788297579038
1957-08-31,DE,Macro vulnerability,0.21644352395653432
1957-08-31,ES,Macro vulnerability,0.9811645839037534
1957-08-31,UK,Macro vulnerability,-0.20520509407416807
1957-08-31,US,Credit & leverage,0.15051441917419783
1957-08-31,US,Macro vulnerability,-0.5188759993723381
1957-09-30,DE,Credit & leverage,0.08415788297579038
